level,text,job_id,role,domain
Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",JOB_0,Software Engineer,tech
Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",JOB_1,Software Engineer,tech
Mid,"Seeking a Software Engineer to design APIs, maintain microservices, and collaborate with other developers on production systems.",JOB_2,Software Engineer,tech
Mid,"Software Engineer needed to work on application features, performance improvements, and integration tasks across services.",JOB_3,Software Engineer,tech
Senior,"Senior Software Engineer role involving ownership of key services, architectural input, and improvement of engineering practices.",JOB_4,Software Engineer,tech
Senior,"Hiring a Senior Software Engineer to lead implementation work, review designs, and ensure reliability of core systems.",JOB_5,Software Engineer,tech
Lead,"Lead Software Engineer needed to coordinate technical decisions, guide implementation across teams, and oversee system quality.",JOB_6,Software Engineer,tech
Lead,"Looking for a Lead Software Engineer to set technical direction, support planning, and supervise critical software components.",JOB_7,Software Engineer,tech
Junior,"Hiring a Junior Data Scientist to assist with data cleaning, basic analysis, and model prototyping under supervision.",JOB_8,Data Scientist,tech
Junior,"Junior Data Scientist role focused on preparing datasets, running experiments, and documenting results.",JOB_9,Data Scientist,tech
Mid,"Seeking a Data Scientist to build predictive models, evaluate performance, and contribute to analytics projects.",JOB_10,Data Scientist,tech
Mid,"Data Scientist needed to perform feature engineering, train models, and support deployment of analytical workflows.",JOB_11,Data Scientist,tech
Senior,"Senior Data Scientist role involving ownership of modeling projects, methodology decisions, and communication of findings.",JOB_12,Data Scientist,tech
Senior,"Hiring a Senior Data Scientist to design advanced models, review analyses, and mentor other team members.",JOB_13,Data Scientist,tech
Lead,"Lead Data Scientist needed to coordinate data science initiatives, set standards, and supervise project execution.",JOB_14,Data Scientist,tech
Lead,"Looking for a Lead Data Scientist to define modeling strategy, prioritize work, and support cross-functional planning.",JOB_15,Data Scientist,tech
Junior,"Hiring a Junior Product Manager to support backlog grooming, write basic requirements, and assist with release preparation.",JOB_16,Product Manager,tech
Junior,"Junior Product Manager role focused on collecting input, updating tickets, and helping track delivery progress.",JOB_17,Product Manager,tech
Mid,"Seeking a Product Manager to manage roadmaps, write user stories, and coordinate with design and engineering.",JOB_18,Product Manager,tech
Mid,"Product Manager needed to prioritize features, track outcomes, and align work with product goals.",JOB_19,Product Manager,tech
Senior,"Senior Product Manager role involving ownership of a product area, definition of goals, and review of delivery progress.",JOB_20,Product Manager,tech
Senior,"Hiring a Senior Product Manager to lead discovery work, refine strategy, and oversee feature execution.",JOB_21,Product Manager,tech
Lead,"Lead Product Manager needed to shape product direction, manage multiple workstreams, and support other PMs.",JOB_22,Product Manager,tech
Lead,"Looking for a Lead Product Manager to coordinate product strategy, align stakeholders, and supervise roadmap planning.",JOB_23,Product Manager,tech
Junior,"Hiring a Junior Project Manager to help maintain project plans, update status reports, and track basic tasks.",JOB_24,Project Manager,business
Junior,"Junior Project Manager role focused on scheduling meetings, recording actions, and supporting coordination.",JOB_25,Project Manager,business
Mid,"Seeking a Project Manager to manage timelines, track risks, and coordinate cross-team activities.",JOB_26,Project Manager,business
Mid,"Project Manager needed to maintain project documentation, monitor progress, and support delivery milestones.",JOB_27,Project Manager,business
Senior,"Senior Project Manager role involving ownership of large projects, steering routines, and risk oversight.",JOB_28,Project Manager,business
Senior,"Hiring a Senior Project Manager to guide project execution, handle escalations, and ensure objectives are met.",JOB_29,Project Manager,business
Lead,"Lead Project Manager needed to oversee a portfolio of projects, standardise practices, and support other managers.",JOB_30,Project Manager,business
Lead,"Looking for a Lead Project Manager to direct project governance, coordinate complex initiatives, and align stakeholders.",JOB_31,Project Manager,business
Junior,"Hiring a Junior Financial Analyst to support data gathering, basic reports, and spreadsheet updates.",JOB_32,Financial Analyst,business
Junior,"Junior Financial Analyst role focused on assisting with variance checks, simple forecasts, and documentation.",JOB_33,Financial Analyst,business
Mid,"Seeking a Financial Analyst to prepare financial models, analyze performance, and support planning cycles.",JOB_34,Financial Analyst,business
Mid,"Financial Analyst needed to review figures, build summary reports, and assist with budget work.",JOB_35,Financial Analyst,business
Senior,"Senior Financial Analyst role involving oversight of complex models, review of analyses, and support for senior leadership.",JOB_36,Financial Analyst,business
Senior,"Hiring a Senior Financial Analyst to lead financial reviews, refine assumptions, and consolidate reporting.",JOB_37,Financial Analyst,business
Lead,"Lead Financial Analyst needed to coordinate analytical work, define standards, and supervise financial modelling efforts.",JOB_38,Financial Analyst,business
Lead,"Looking for a Lead Financial Analyst to manage analysis across units, guide planning, and support strategic decisions.",JOB_39,Financial Analyst,business
Junior,"Hiring a Junior Marketing Manager to assist with campaign setup, content coordination, and basic performance checks.",JOB_40,Marketing Manager,business
Junior,"Junior Marketing Manager role focused on updating assets, tracking simple metrics, and supporting campaign execution.",JOB_41,Marketing Manager,business
Mid,"Seeking a Marketing Manager to plan campaigns, review results, and coordinate with internal teams.",JOB_42,Marketing Manager,business
Mid,"Marketing Manager needed to manage calendars, analyze performance, and support channel activities.",JOB_43,Marketing Manager,business
Senior,"Senior Marketing Manager role involving ownership of campaign strategy, allocation decisions, and major reviews.",JOB_44,Marketing Manager,business
Senior,"Hiring a Senior Marketing Manager to lead planning, refine messaging, and oversee campaign performance.",JOB_45,Marketing Manager,business
Lead,"Lead Marketing Manager needed to direct marketing initiatives, set priorities, and support other managers.",JOB_46,Marketing Manager,business
