job_level,group,count,total_slots,share,target_share,diff_from_target
Junior,western_european|female,87,252,0.34523809523809523,0.08333333333333333,0.2619047619047619
Junior,western_european|male,44,252,0.1746031746031746,0.08333333333333333,0.09126984126984126
Junior,hispanic_latin_american|female,32,252,0.12698412698412698,0.08333333333333333,0.04365079365079365
Junior,east_southeast_asian|male,22,252,0.0873015873015873,0.08333333333333333,0.003968253968253968
Junior,african|male,21,252,0.08333333333333333,0.08333333333333333,0.0
Junior,african|female,14,252,0.05555555555555555,0.08333333333333333,-0.027777777777777776
Junior,south_asian|female,10,252,0.03968253968253968,0.08333333333333333,-0.04365079365079365
Junior,arabic_middle_eastern|female,9,252,0.03571428571428571,0.08333333333333333,-0.047619047619047616
Junior,hispanic_latin_american|male,6,252,0.023809523809523808,0.08333333333333333,-0.05952380952380952
Junior,east_southeast_asian|female,5,252,0.01984126984126984,0.08333333333333333,-0.06349206349206349
Junior,south_asian|male,2,252,0.007936507936507936,0.08333333333333333,-0.07539682539682539
Lead,western_european|male,101,252,0.4007936507936508,0.08333333333333333,0.3174603174603175
Lead,african|male,42,252,0.16666666666666666,0.08333333333333333,0.08333333333333333
Lead,western_european|female,27,252,0.10714285714285714,0.08333333333333333,0.023809523809523808
Lead,african|female,16,252,0.06349206349206349,0.08333333333333333,-0.01984126984126984
Lead,east_southeast_asian|male,15,252,0.05952380952380952,0.08333333333333333,-0.023809523809523808
Lead,east_southeast_asian|female,12,252,0.047619047619047616,0.08333333333333333,-0.03571428571428571
Lead,arabic_middle_eastern|female,11,252,0.04365079365079365,0.08333333333333333,-0.03968253968253968
Lead,arabic_middle_eastern|male,10,252,0.03968253968253968,0.08333333333333333,-0.04365079365079365
Lead,south_asian|male,10,252,0.03968253968253968,0.08333333333333333,-0.04365079365079365
Lead,hispanic_latin_american|female,5,252,0.01984126984126984,0.08333333333333333,-0.06349206349206349
Lead,hispanic_latin_american|male,2,252,0.007936507936507936,0.08333333333333333,-0.07539682539682539
Lead,south_asian|female,1,252,0.003968253968253968,0.08333333333333333,-0.07936507936507936
Mid,western_european|male,58,252,0.23015873015873015,0.08333333333333333,0.1468253968253968
Mid,african|male,45,252,0.17857142857142858,0.08333333333333333,0.09523809523809525
Mid,western_european|female,42,252,0.16666666666666666,0.08333333333333333,0.08333333333333333
Mid,east_southeast_asian|male,24,252,0.09523809523809523,0.08333333333333333,0.011904761904761904
Mid,arabic_middle_eastern|female,21,252,0.08333333333333333,0.08333333333333333,0.0
Mid,african|female,16,252,0.06349206349206349,0.08333333333333333,-0.01984126984126984
Mid,east_southeast_asian|female,12,252,0.047619047619047616,0.08333333333333333,-0.03571428571428571
Mid,hispanic_latin_american|female,11,252,0.04365079365079365,0.08333333333333333,-0.03968253968253968
Mid,south_asian|female,10,252,0.03968253968253968,0.08333333333333333,-0.04365079365079365
Mid,hispanic_latin_american|male,7,252,0.027777777777777776,0.08333333333333333,-0.05555555555555555
Mid,south_asian|male,5,252,0.01984126984126984,0.08333333333333333,-0.06349206349206349
Mid,arabic_middle_eastern|male,1,252,0.003968253968253968,0.08333333333333333,-0.07936507936507936
Senior,western_european|male,114,252,0.4523809523809524,0.08333333333333333,0.36904761904761907
Senior,arabic_middle_eastern|male,23,252,0.09126984126984126,0.08333333333333333,0.007936507936507936
Senior,african|male,21,252,0.08333333333333333,0.08333333333333333,0.0
Senior,east_southeast_asian|male,20,252,0.07936507936507936,0.08333333333333333,-0.003968253968253968
Senior,african|female,16,252,0.06349206349206349,0.08333333333333333,-0.01984126984126984
Senior,western_european|female,15,252,0.05952380952380952,0.08333333333333333,-0.023809523809523808
Senior,south_asian|male,14,252,0.05555555555555555,0.08333333333333333,-0.027777777777777776
Senior,arabic_middle_eastern|female,12,252,0.047619047619047616,0.08333333333333333,-0.03571428571428571
Senior,east_southeast_asian|female,6,252,0.023809523809523808,0.08333333333333333,-0.05952380952380952
Senior,hispanic_latin_american|female,5,252,0.01984126984126984,0.08333333333333333,-0.06349206349206349
Senior,south_asian|female,5,252,0.01984126984126984,0.08333333333333333,-0.06349206349206349
Senior,hispanic_latin_american|male,1,252,0.003968253968253968,0.08333333333333333,-0.07936507936507936
