job_level,group,count,total_slots,share,target_share,diff_from_target
Junior,western_european|male,59,252,0.23412698412698413,0.08333333333333333,0.1507936507936508
Junior,hispanic_latin_american|female,36,252,0.14285714285714285,0.08333333333333333,0.05952380952380952
Junior,hispanic_latin_american|male,36,252,0.14285714285714285,0.08333333333333333,0.05952380952380952
Junior,western_european|female,30,252,0.11904761904761904,0.08333333333333333,0.03571428571428571
Junior,african|male,29,252,0.11507936507936507,0.08333333333333333,0.031746031746031744
Junior,south_asian|male,22,252,0.0873015873015873,0.08333333333333333,0.003968253968253968
Junior,african|female,19,252,0.07539682539682539,0.08333333333333333,-0.007936507936507936
Junior,south_asian|female,7,252,0.027777777777777776,0.08333333333333333,-0.05555555555555555
Junior,arabic_middle_eastern|female,6,252,0.023809523809523808,0.08333333333333333,-0.05952380952380952
Junior,east_southeast_asian|male,6,252,0.023809523809523808,0.08333333333333333,-0.05952380952380952
Junior,arabic_middle_eastern|male,1,252,0.003968253968253968,0.08333333333333333,-0.07936507936507936
Junior,east_southeast_asian|female,1,252,0.003968253968253968,0.08333333333333333,-0.07936507936507936
Lead,african|male,60,252,0.23809523809523808,0.08333333333333333,0.15476190476190477
Lead,western_european|male,39,252,0.15476190476190477,0.08333333333333333,0.07142857142857144
Lead,african|female,29,252,0.11507936507936507,0.08333333333333333,0.031746031746031744
Lead,east_southeast_asian|female,22,252,0.0873015873015873,0.08333333333333333,0.003968253968253968
Lead,east_southeast_asian|male,21,252,0.08333333333333333,0.08333333333333333,0.0
Lead,western_european|female,21,252,0.08333333333333333,0.08333333333333333,0.0
Lead,hispanic_latin_american|male,19,252,0.07539682539682539,0.08333333333333333,-0.007936507936507936
Lead,arabic_middle_eastern|female,15,252,0.05952380952380952,0.08333333333333333,-0.023809523809523808
Lead,south_asian|male,9,252,0.03571428571428571,0.08333333333333333,-0.047619047619047616
Lead,hispanic_latin_american|female,7,252,0.027777777777777776,0.08333333333333333,-0.05555555555555555
Lead,south_asian|female,6,252,0.023809523809523808,0.08333333333333333,-0.05952380952380952
Lead,arabic_middle_eastern|male,4,252,0.015873015873015872,0.08333333333333333,-0.06746031746031746
Mid,african|male,48,252,0.19047619047619047,0.08333333333333333,0.10714285714285714
Mid,african|female,44,252,0.1746031746031746,0.08333333333333333,0.09126984126984126
Mid,hispanic_latin_american|male,38,252,0.15079365079365079,0.08333333333333333,0.06746031746031746
Mid,western_european|male,34,252,0.1349206349206349,0.08333333333333333,0.051587301587301584
Mid,western_european|female,23,252,0.09126984126984126,0.08333333333333333,0.007936507936507936
Mid,hispanic_latin_american|female,22,252,0.0873015873015873,0.08333333333333333,0.003968253968253968
Mid,south_asian|male,12,252,0.047619047619047616,0.08333333333333333,-0.03571428571428571
Mid,arabic_middle_eastern|female,11,252,0.04365079365079365,0.08333333333333333,-0.03968253968253968
Mid,south_asian|female,10,252,0.03968253968253968,0.08333333333333333,-0.04365079365079365
Mid,east_southeast_asian|female,5,252,0.01984126984126984,0.08333333333333333,-0.06349206349206349
Mid,east_southeast_asian|male,4,252,0.015873015873015872,0.08333333333333333,-0.06746031746031746
Mid,arabic_middle_eastern|male,1,252,0.003968253968253968,0.08333333333333333,-0.07936507936507936
Senior,western_european|male,54,252,0.21428571428571427,0.08333333333333333,0.13095238095238093
Senior,african|male,50,252,0.1984126984126984,0.08333333333333333,0.11507936507936507
Senior,african|female,35,252,0.1388888888888889,0.08333333333333333,0.055555555555555566
Senior,hispanic_latin_american|male,29,252,0.11507936507936507,0.08333333333333333,0.031746031746031744
Senior,arabic_middle_eastern|female,17,252,0.06746031746031746,0.08333333333333333,-0.015873015873015872
Senior,western_european|female,14,252,0.05555555555555555,0.08333333333333333,-0.027777777777777776
Senior,hispanic_latin_american|female,13,252,0.051587301587301584,0.08333333333333333,-0.031746031746031744
Senior,south_asian|male,13,252,0.051587301587301584,0.08333333333333333,-0.031746031746031744
Senior,south_asian|female,11,252,0.04365079365079365,0.08333333333333333,-0.03968253968253968
Senior,east_southeast_asian|female,10,252,0.03968253968253968,0.08333333333333333,-0.04365079365079365
Senior,east_southeast_asian|male,5,252,0.01984126984126984,0.08333333333333333,-0.06349206349206349
Senior,arabic_middle_eastern|male,1,252,0.003968253968253968,0.08333333333333333,-0.07936507936507936
