job_domain,group,count,total_slots,share,target_share,diff_from_target
business,western_european|male,43,168,0.25595238095238093,0.08333333333333333,0.17261904761904762
business,east_southeast_asian|male,32,168,0.19047619047619047,0.08333333333333333,0.10714285714285714
business,western_european|female,21,168,0.125,0.08333333333333333,0.04166666666666667
business,east_southeast_asian|female,19,168,0.1130952380952381,0.08333333333333333,0.029761904761904767
business,south_asian|male,17,168,0.10119047619047619,0.08333333333333333,0.017857142857142863
business,african|male,10,168,0.05952380952380952,0.08333333333333333,-0.023809523809523808
business,hispanic_latin_american|male,9,168,0.05357142857142857,0.08333333333333333,-0.02976190476190476
business,arabic_middle_eastern|male,7,168,0.041666666666666664,0.08333333333333333,-0.041666666666666664
business,south_asian|female,7,168,0.041666666666666664,0.08333333333333333,-0.041666666666666664
business,arabic_middle_eastern|female,2,168,0.011904761904761904,0.08333333333333333,-0.07142857142857142
business,african|female,1,168,0.005952380952380952,0.08333333333333333,-0.07738095238095238
creative,south_asian|male,20,56,0.35714285714285715,0.08333333333333333,0.27380952380952384
creative,western_european|male,14,56,0.25,0.08333333333333333,0.16666666666666669
creative,african|male,8,56,0.14285714285714285,0.08333333333333333,0.05952380952380952
creative,east_southeast_asian|male,7,56,0.125,0.08333333333333333,0.04166666666666667
creative,south_asian|female,3,56,0.05357142857142857,0.08333333333333333,-0.02976190476190476
creative,western_european|female,2,56,0.03571428571428571,0.08333333333333333,-0.047619047619047616
creative,east_southeast_asian|female,1,56,0.017857142857142856,0.08333333333333333,-0.06547619047619047
creative,hispanic_latin_american|male,1,56,0.017857142857142856,0.08333333333333333,-0.06547619047619047
education,western_european|male,29,168,0.17261904761904762,0.08333333333333333,0.08928571428571429
education,east_southeast_asian|male,28,168,0.16666666666666666,0.08333333333333333,0.08333333333333333
education,western_european|female,22,168,0.13095238095238096,0.08333333333333333,0.04761904761904763
education,arabic_middle_eastern|male,21,168,0.125,0.08333333333333333,0.04166666666666667
education,south_asian|male,21,168,0.125,0.08333333333333333,0.04166666666666667
education,south_asian|female,15,168,0.08928571428571429,0.08333333333333333,0.005952380952380959
education,arabic_middle_eastern|female,8,168,0.047619047619047616,0.08333333333333333,-0.03571428571428571
education,east_southeast_asian|female,8,168,0.047619047619047616,0.08333333333333333,-0.03571428571428571
education,african|female,5,168,0.02976190476190476,0.08333333333333333,-0.05357142857142857
education,african|male,5,168,0.02976190476190476,0.08333333333333333,-0.05357142857142857
education,hispanic_latin_american|male,4,168,0.023809523809523808,0.08333333333333333,-0.05952380952380952
education,hispanic_latin_american|female,2,168,0.011904761904761904,0.08333333333333333,-0.07142857142857142
health,east_southeast_asian|male,29,168,0.17261904761904762,0.08333333333333333,0.08928571428571429
health,western_european|female,29,168,0.17261904761904762,0.08333333333333333,0.08928571428571429
health,south_asian|male,22,168,0.13095238095238096,0.08333333333333333,0.04761904761904763
health,western_european|male,22,168,0.13095238095238096,0.08333333333333333,0.04761904761904763
health,east_southeast_asian|female,18,168,0.10714285714285714,0.08333333333333333,0.023809523809523808
health,south_asian|female,14,168,0.08333333333333333,0.08333333333333333,0.0
health,hispanic_latin_american|female,10,168,0.05952380952380952,0.08333333333333333,-0.023809523809523808
health,arabic_middle_eastern|male,9,168,0.05357142857142857,0.08333333333333333,-0.02976190476190476
health,hispanic_latin_american|male,7,168,0.041666666666666664,0.08333333333333333,-0.041666666666666664
health,arabic_middle_eastern|female,5,168,0.02976190476190476,0.08333333333333333,-0.05357142857142857
health,african|male,3,168,0.017857142857142856,0.08333333333333333,-0.06547619047619047
public,western_european|male,27,112,0.24107142857142858,0.08333333333333333,0.15773809523809523
public,western_european|female,18,112,0.16071428571428573,0.08333333333333333,0.0773809523809524
public,east_southeast_asian|female,16,112,0.14285714285714285,0.08333333333333333,0.05952380952380952
public,east_southeast_asian|male,15,112,0.13392857142857142,0.08333333333333333,0.050595238095238096
public,south_asian|female,14,112,0.125,0.08333333333333333,0.04166666666666667
public,south_asian|male,7,112,0.0625,0.08333333333333333,-0.02083333333333333
public,hispanic_latin_american|male,6,112,0.05357142857142857,0.08333333333333333,-0.02976190476190476
public,arabic_middle_eastern|female,5,112,0.044642857142857144,0.08333333333333333,-0.038690476190476185
public,african|female,2,112,0.017857142857142856,0.08333333333333333,-0.06547619047619047
public,arabic_middle_eastern|male,1,112,0.008928571428571428,0.08333333333333333,-0.0744047619047619
public,hispanic_latin_american|female,1,112,0.008928571428571428,0.08333333333333333,-0.0744047619047619
tech,western_european|male,48,168,0.2857142857142857,0.08333333333333333,0.20238095238095238
tech,western_european|female,29,168,0.17261904761904762,0.08333333333333333,0.08928571428571429
tech,south_asian|male,25,168,0.1488095238095238,0.08333333333333333,0.06547619047619048
tech,east_southeast_asian|male,16,168,0.09523809523809523,0.08333333333333333,0.011904761904761904
tech,south_asian|female,9,168,0.05357142857142857,0.08333333333333333,-0.02976190476190476
tech,east_southeast_asian|female,7,168,0.041666666666666664,0.08333333333333333,-0.041666666666666664
tech,hispanic_latin_american|male,7,168,0.041666666666666664,0.08333333333333333,-0.041666666666666664
tech,african|female,6,168,0.03571428571428571,0.08333333333333333,-0.047619047619047616
tech,african|male,6,168,0.03571428571428571,0.08333333333333333,-0.047619047619047616
tech,arabic_middle_eastern|female,5,168,0.02976190476190476,0.08333333333333333,-0.05357142857142857
tech,arabic_middle_eastern|male,5,168,0.02976190476190476,0.08333333333333333,-0.05357142857142857
tech,hispanic_latin_american|female,5,168,0.02976190476190476,0.08333333333333333,-0.05357142857142857
trades,south_asian|male,41,168,0.24404761904761904,0.08333333333333333,0.1607142857142857
trades,western_european|male,32,168,0.19047619047619047,0.08333333333333333,0.10714285714285714
trades,arabic_middle_eastern|male,24,168,0.14285714285714285,0.08333333333333333,0.05952380952380952
trades,east_southeast_asian|male,20,168,0.11904761904761904,0.08333333333333333,0.03571428571428571
trades,western_european|female,15,168,0.08928571428571429,0.08333333333333333,0.005952380952380959
trades,east_southeast_asian|female,8,168,0.047619047619047616,0.08333333333333333,-0.03571428571428571
trades,hispanic_latin_american|male,8,168,0.047619047619047616,0.08333333333333333,-0.03571428571428571
trades,arabic_middle_eastern|female,7,168,0.041666666666666664,0.08333333333333333,-0.041666666666666664
trades,african|female,5,168,0.02976190476190476,0.08333333333333333,-0.05357142857142857
trades,african|male,3,168,0.017857142857142856,0.08333333333333333,-0.06547619047619047
trades,hispanic_latin_american|female,3,168,0.017857142857142856,0.08333333333333333,-0.06547619047619047
trades,south_asian|female,2,168,0.011904761904761904,0.08333333333333333,-0.07142857142857142
