group,count,share,target_share,diff_from_target
western_european|male,215,0.21329365079365079,0.08333333333333333,0.12996031746031744
south_asian|male,153,0.15178571428571427,0.08333333333333333,0.06845238095238095
east_southeast_asian|male,147,0.14583333333333334,0.08333333333333333,0.06250000000000001
western_european|female,136,0.1349206349206349,0.08333333333333333,0.051587301587301584
east_southeast_asian|female,77,0.0763888888888889,0.08333333333333333,-0.006944444444444434
arabic_middle_eastern|male,67,0.06646825396825397,0.08333333333333333,-0.01686507936507936
south_asian|female,64,0.06349206349206349,0.08333333333333333,-0.01984126984126984
hispanic_latin_american|male,42,0.041666666666666664,0.08333333333333333,-0.041666666666666664
african|male,35,0.034722222222222224,0.08333333333333333,-0.048611111111111105
arabic_middle_eastern|female,32,0.031746031746031744,0.08333333333333333,-0.051587301587301584
hispanic_latin_american|female,21,0.020833333333333332,0.08333333333333333,-0.0625
african|female,19,0.018849206349206348,0.08333333333333333,-0.06448412698412698
